syscall,3.2.96,3.3.8,3.4.110,3.5.7,3.6.11,3.7.10,3.8.13,3.9.11,3.10.108,3.11.10,3.12.74,3.13.11,3.14.79,3.15.10,3.16.51,3.17.8,3.18.89,3.19.8,4.0.9,4.1.48,4.2.8,4.3.6,4.4.0,4.5.7,4.6.3,4.7.0,4.8.0,4.9.0,4.10.0,4.11.0,4.12.0,4.13.16,4.14.0
02_fork,332512,321890,331646,332413,332564,337387,343421,406342,88102,87399,102056,101880,91606,101452,100504,120846,83716,86261,84109,84405,97194,94446,93924,94236,98835,98278,101062,102737,107058,110722,162772,180635,184170
03_read,10189,9083,10425,11527,10535,10542,11088,11089,3603,2669,3576,2552,3534,3538,2556,2591,2665,2694,2740,2727,2780,2700,2796,2658,2698,2624,2706,2688,2734,2813,3827,4711,4811
04_write,62045,47831,57783,64016,60073,60870,67329,67916,16674,15825,16499,15508,16456,17440,15326,16013,15684,17113,16355,16706,17029,16043,16600,16060,16597,17027,17661,17613,17846,17599,24721,30799,32780
05_open,100012,77444,99779,27171,101906,103532,108020,110479,27445,25307,27321,26317,27574,31116,28569,30046,29302,30248,29553,30872,28368,27559,27760,28533,28661,28773,29500,28645,28933,28413,40618,50760,49898
06_close,7924,6216,8675,8115,11428,11461,11665,11667,4107,2808,3990,2581,3831,3935,2609,2754,2601,2668,2301,2278,2299,2238,2373,2397,2418,2298,2315,2320,2340,2308,3348,4184,3916
09_link,43976,40066,42889,42048,44472,43640,44637,47777,13146,11134,12652,10892,12198,10486,9123,9424,9359,9603,8956,9344,9090,8593,8812,8807,9052,9192,9010,9500,9357,9230,12858,16570,16122
0a_unlink-removefile,82129,55891,77249,21251,88319,85999,94411,98451,24431,22011,24079,22100,23736,21379,20077,20327,20611,20593,20459,20473,18560,17312,17503,17506,17592,18053,18006,18392,18191,18295,25676,32847,31833
0a_unlink,34974,35505,36274,36299,34653,35474,37959,38921,10104,8882,9848,8813,9575,10022,8557,8772,8613,8838,8482,8696,8307,7892,7958,8161,8207,8216,8151,8366,8247,8300,11248,14611,14561
0b_execve,33513,27118,31128,33556,34824,33842,34593,35809,9751,8083,9590,8095,9147,12386,10836,11341,11488,11403,11011,11153,11104,10820,11223,11065,11472,11941,11568,10874,10555,10827,14910,18667,18058
0d_time,6373,5851,6197,6506,6552,6696,6415,6851,1532,1524,1498,1499,1526,1483,3546,1469,3684,1484,1483,1508,1494,1449,1462,1455,4934,4914,5844,5841,5729,5819,7068,10303,8778
0e_mknod,92496,69744,93717,94386,94686,96413,100835,103539,25768,23513,25668,24244,25272,29242,26670,27925,27412,28424,27586,28843,26501,25783,25766,26446,26844,26896,27801,26997,27249,26472,36851,46231,45868
0f_chmod,37023,30556,38678,38855,37683,37663,38776,41105,10900,9217,10813,11305,12662,10904,9436,9583,7406,7334,7069,7283,7272,7481,7505,7354,7705,7478,7555,7744,7710,7611,10701,13594,13152
12_stat,19895,14922,19707,20891,20459,19685,20369,21648,6797,4779,6558,4814,6366,4168,2914,2997,3094,2953,2662,2946,3016,3349,3068,3106,3146,3402,3200,3534,3318,3490,4924,6527,5668
14_getpid,4274,3989,4124,4390,4224,4186,4281,4476,1889,1033,1903,1003,1701,1697,1028,990,1039,995,1112,1067,1130,1104,1025,1030,1055,1063,1033,1089,1084,1061,1433,1820,1841
19_stime,17381,43267,36590,37817,37458,37899,41375,40074,79772,40380,83652,53831,69567,74284,59871,57753,58826,56543,50611,52428,51317,72931,87464,85616,57755,99431,93179,69210,94571,88313,84488,188109,95605
1b_alarm,21137,17670,20246,20680,20247,20888,21242,21722,6488,4721,6307,4675,6110,8883,7557,7790,7905,7607,7617,7904,7587,7534,7782,7850,7928,7840,8026,7356,7165,7085,9994,11837,12416
1c_fstat,7274,5484,6242,12065,14177,13995,14581,14950,5386,3413,5236,3486,5110,2776,1679,1886,1766,1775,1660,1853,1735,1782,1789,1806,1771,1791,1825,1951,2024,2052,2251,2813,2531
1e_utime,34401,27349,35023,43280,34976,34347,34767,37371,10126,8332,9881,10562,11721,9944,8528,8618,6497,6265,6154,6342,6385,6489,6370,6186,6493,6516,6795,6801,6874,6734,9585,11493,11371
26_rename,78948,56667,77156,78324,77282,77376,82476,83398,20912,18772,20299,19076,19906,19994,18031,19215,18670,19564,18531,19242,18383,17308,17162,17900,18299,19037,18698,18529,18840,18293,24977,30123,30875
27_mkdir,183147,113354,168378,166851,166545,172638,172945,194116,45946,44111,45393,44922,44526,50152,46479,48843,48117,50873,48780,49813,46616,45267,45946,46609,47566,48029,48347,47001,47224,46815,65934,80354,85106
28_rmdir,147876,87766,136331,140695,132426,138899,155573,161720,39826,37029,39102,37575,38726,36984,35438,36337,36272,38157,37069,36364,33036,31328,31147,31431,31641,33033,32254,32542,32628,32586,46553,58851,59144
29_dup,6033,4829,5722,4717,5954,5805,6180,6147,2621,1551,2562,1462,2457,2569,1515,1582,1499,1542,1448,1497,1477,1463,1483,1563,1563,1561,1535,1565,1576,1528,2173,2664,2649
2a_pipe,7020,6493,6839,6659,6716,6831,6720,7106,9005,7193,9099,7399,8891,11869,10174,10561,10736,10604,10353,10989,10310,10072,10995,10753,11313,11758,11259,10822,10670,10768,10694,10639,10873
2b_times,17309,14979,17669,17742,17793,18353,17782,18366,5744,4225,5749,4161,5616,8360,7145,7257,7833,7581,7776,7841,7696,7092,7341,7409,7660,7396,7691,7099,6941,7127,9522,11961,11993
2c_acct,30622,20397,28064,20798,28012,28210,27698,29768,8507,6506,8206,5964,7458,5246,4227,10078,9660,9630,10086,10014,9866,9694,10846,10509,10447,13533,9910,11608,11701,11108,13822,19476,17090
3c_umask,12934,11773,12142,13293,13219,13399,13250,13875,4827,3075,4770,3026,4521,7406,5935,6085,6198,5967,5771,6245,5954,5826,6193,6234,6336,6133,6349,5516,5366,5353,7410,8917,9510
3f_dup2,5923,4579,5820,6115,6110,5829,6098,6276,2662,1543,2617,1504,2414,2663,1456,1552,1467,1505,1407,1407,1441,1443,1455,1518,1539,1593,1521,1537,1544,1502,2179,2646,2624
40_getppid,13194,12504,13290,13703,13226,13371,13653,13902,4961,3180,4816,3051,4555,7322,6080,6208,6352,6007,5905,6277,5966,5826,6111,6210,6230,6120,6331,5564,5410,5449,7534,8839,9435
41_getpgrp,13115,12063,13947,14033,13647,13816,14021,14450,5082,3242,4871,3136,4590,7399,6119,6286,6494,6088,6067,6383,6045,5988,6251,6367,6362,6240,6412,5662,5522,5554,7695,9424,9509
