syscall,3.2.96,3.3.8,3.4.110,3.5.7,3.6.11,3.7.10,3.8.13,3.9.11,3.10.108,3.11.10,3.12.74,3.13.11,3.14.79,3.15.10,3.16.51,3.17.8,3.18.89,3.19.8,4.0.9,4.1.48,4.2.8,4.3.6,4.4.0,4.5.7,4.6.3,4.7.0,4.8.0,4.9.0,4.10.0,4.11.0,4.12.0,4.13.16,4.14.0
02_fork,18457,17207,20674,21147,20358,22664,20829,45458,15029,16576,19886,18582,16846,17827,18389,15361,3472,3754,3574,4010,16889,17292,17023,16680,16846,17335,17092,17172,16484,16808,33380,42910,43955
03_read,2131,3029,1347,955,940,1001,1073,973,112,105,97,145,94,116,99,90,106,126,142,114,136,129,128,128,126,135,120,137,141,137,694,951,993
04_write,6944,20853,15587,4270,5034,4083,5849,8658,607,819,683,1208,467,659,455,415,713,804,1196,1291,675,1318,1026,855,862,905,1094,781,926,1460,4660,6452,6468
05_open,7716,30320,10011,1914,7475,7245,6729,7102,1534,596,656,600,1567,740,606,704,906,933,854,911,1078,1325,1342,1406,1451,1566,1768,1530,1962,1804,7278,10198,10351
06_close,1695,2918,1474,2153,1454,1411,1317,1651,142,120,113,117,114,146,122,155,141,118,131,124,133,144,149,159,138,132,145,155,161,161,634,878,839
09_link,9138,12371,10479,10351,8241,8467,10602,8576,655,321,480,300,397,213,302,408,422,417,684,440,555,418,409,504,357,445,461,443,569,475,2400,3410,3376
0a_unlink-removefile,19476,29199,23681,1669,6901,14585,11639,7759,287,244,240,272,261,259,247,284,296,619,336,330,372,527,511,490,506,547,557,567,685,735,4376,6656,6511
0a_unlink,7093,4126,2698,1513,3798,4199,2185,2201,168,140,154,143,154,161,158,165,167,164,166,171,202,268,267,238,253,262,276,296,308,316,1948,3028,2836
0b_execve,6871,11057,7311,3537,2718,3185,3133,3848,761,702,701,678,690,750,704,706,709,706,697,778,674,691,786,678,614,500,669,687,756,705,2670,3822,3737
0d_time,1115,1569,1471,681,718,676,1273,724,86,85,70,78,71,77,104,68,115,70,74,78,76,92,96,99,279,239,367,389,505,415,1305,2119,1799
0e_mknod,11118,30031,8792,7930,6333,8960,6919,8052,482,417,735,452,431,1602,576,504,702,816,1004,1026,909,1195,1238,1311,1328,1528,1710,1436,1921,1645,6330,9620,9477
0f_chmod,6313,12573,3306,2244,2544,3792,1899,2573,292,196,192,220,216,231,239,268,251,277,267,275,323,1175,1259,1012,1200,1346,1299,1146,1149,1110,2129,2965,2870
12_stat,4124,7078,3700,2313,1716,2189,1880,1842,171,162,172,169,163,160,155,163,174,185,179,174,187,1144,176,188,174,212,171,1097,288,205,1154,1550,1286
14_getpid,691,1083,974,438,906,664,723,255,71,52,47,23,39,40,28,35,36,26,50,36,50,78,46,34,56,78,38,75,41,51,259,386,367
19_stime,4464,43614,34188,36732,36887,36739,38203,37342,64863,30950,79175,42478,50432,58073,45972,50504,49846,50740,46744,50327,44362,54420,55045,78239,51916,81127,81345,56259,83178,53348,53812,201606,90113
1b_alarm,1785,6112,1771,1117,1213,1154,1107,1127,169,134,134,128,133,171,167,149,300,293,243,276,268,299,318,352,333,322,303,315,335,310,1814,2302,2444
1c_fstat,5238,4304,4872,937,1526,1733,1192,1850,123,114,130,143,144,132,112,120,120,134,126,122,149,135,128,133,133,151,134,118,160,175,535,1101,981
1e_utime,3986,11551,3519,2509,2394,3021,3670,3499,292,184,188,205,212,228,232,264,234,254,249,246,286,1130,1294,490,1261,578,1365,716,1128,1103,1889,2600,2568
26_rename,7680,26263,8319,5100,6539,3981,4838,3652,453,405,423,389,421,2590,2334,2387,2524,2494,2330,2510,2398,2324,2466,2436,2507,2514,2567,2195,2166,2163,4974,6806,6811
27_mkdir,14582,57870,25928,32543,29326,25069,37428,18846,1402,1832,1332,1419,1284,1414,1293,2525,2226,2191,2054,1656,2148,2242,3859,3612,2340,2597,2640,2453,3009,4000,11545,17316,16816
28_rmdir,15022,49809,39931,38448,39517,37132,34635,33647,1656,1553,1644,2069,1974,1936,2443,2049,2505,2420,2293,2402,2408,3827,3768,5466,3142,4346,3586,3305,4476,2017,10365,12812,13601
29_dup,1290,2254,1583,881,1120,1346,721,1154,96,86,84,83,89,94,81,83,75,81,79,79,84,88,94,108,97,103,99,94,101,96,407,555,548
2a_pipe,594,203,439,516,471,501,504,498,632,566,610,607,574,633,614,597,582,642,626,634,603,639,780,714,764,771,682,781,818,730,700,748,738
2b_times,2358,5071,2193,1044,813,1299,1781,764,84,104,98,103,105,154,113,148,280,222,269,276,242,1111,1045,1215,1248,1204,1216,1070,1017,750,2190,2935,2831
2c_acct,5353,8963,2338,1671,1991,2318,4023,3124,404,322,365,384,359,360,371,655,783,761,865,836,841,833,1028,912,830,1581,821,945,998,946,2744,3708,3330
3c_umask,1660,3380,3078,690,702,969,1135,692,89,70,81,68,88,133,104,143,187,171,169,236,234,188,280,285,334,278,218,169,223,153,1307,1832,1841
3f_dup2,1278,2130,1454,1319,862,1433,1356,1044,99,80,84,78,80,88,75,77,78,82,92,74,84,85,88,97,95,98,93,90,103,90,407,545,553
40_getppid,1520,2664,1789,702,1190,825,815,714,93,113,77,62,72,110,102,96,237,158,120,198,157,155,192,226,195,194,189,153,152,135,1316,1749,1816
41_getpgrp,2059,3860,929,617,725,783,1123,771,127,100,74,65,76,107,98,87,209,124,133,213,198,180,193,247,192,184,191,155,150,134,1327,1796,1833
